Date,Open,High,Low,Close,Volume,transactions
2017-11-13 05:00:00,178.01,179.18,177.79,178.85,415658.0,4827
2017-11-14 05:00:00,179.9,180.48,178.645,180.34,382835.0,4986
2017-11-15 05:00:00,177.84,178.6903,176.55,177.91,494385.0,5900
2017-11-16 05:00:00,179.67,181.92,179.5,181.79,1853691.0,6423
2017-11-17 05:00:00,181.27,181.37,179.77,180.33,554103.0,5586
2017-11-20 05:00:00,179.94,182.36,179.79,181.53,996713.0,6511
2017-11-21 05:00:00,182.67,185.45,182.67,185.37,846225.0,5976
2017-11-22 05:00:00,184.89,185.19,182.35,183.0,527060.0,3891
2017-11-24 05:00:00,185.51,186.37,185.37,186.37,311379.0,3082
2017-11-27 05:00:00,185.83,185.94,184.55,184.72,864477.0,6394
2017-11-28 05:00:00,184.87,185.05,183.47,184.29,788290.0,6601
2017-11-29 05:00:00,182.47,182.52,172.085,172.44,2544837.0,21109
2017-11-30 05:00:00,175.86,176.55,173.78,175.52,1584585.0,12657
2017-12-01 05:00:00,174.01,174.2225,171.21,172.43,1143284.0,11453
2017-12-04 05:00:00,175.19,175.31,168.35,169.33,1446152.0,12933
2017-12-05 05:00:00,169.54,172.98,168.7,170.5,737754.0,8216
2017-12-06 05:00:00,169.28,171.35,168.3,170.67,869467.0,7854
2017-12-07 05:00:00,170.43,172.83,170.43,172.17,989734.0,7105
2017-12-08 05:00:00,173.83,174.54,171.77,171.98,487002.0,6276
2017-12-11 05:00:00,172.53,175.41,172.26,175.13,1572068.0,10167
2017-12-12 05:00:00,173.3,173.58,171.8,172.16,1129584.0,8952
2017-12-13 05:00:00,173.35,174.54,172.38,173.36,828923.0,7996
2017-12-14 05:00:00,173.4,174.37,171.61,171.91,935511.0,9237
2017-12-15 05:00:00,171.93,174.14,170.85,173.8,3118474.0,12239
2017-12-18 05:00:00,175.47,177.05,174.96,176.37,1207853.0,9931
2017-12-19 05:00:00,176.14,177.49,175.61,177.03,708746.0,7566
2017-12-20 05:00:00,177.06,177.485,174.56,175.17,528421.0,5170
2017-12-21 05:00:00,175.73,175.97,174.045,174.54,393445.0,4954
2017-12-22 05:00:00,174.26,175.39,173.71,175.22,286025.0,3667
2017-12-26 05:00:00,173.65,173.7,171.38,173.09,281368.0,4109
2017-12-27 05:00:00,173.2,174.69,172.92,174.04,334756.0,4608
2017-12-28 05:00:00,174.11,174.71,173.66,174.2,402134.0,5072
2017-12-29 05:00:00,174.61,174.87,173.72,173.82,195087.0,2663
2018-01-02 05:00:00,174.14,177.84,173.98,177.73,818602.0,7835
2018-01-03 05:00:00,177.73,179.58,177.68,179.08,1054850.0,7964
2018-01-04 05:00:00,180.49,181.77,179.4,180.75,915869.0,7249
2018-01-05 05:00:00,180.84,183.45,180.75,182.87,516070.0,4979
2018-01-08 05:00:00,183.19,184.46,182.81,183.83,763915.0,6081
2018-01-09 05:00:00,184.07,184.17,181.24,182.84,854396.0,7706
2018-01-10 05:00:00,181.39,181.55,179.3285,180.71,669201.0,6256
2018-01-11 05:00:00,180.08,180.23,177.91,178.55,831917.0,5706
2018-01-12 05:00:00,181.11,181.47,179.94,180.87,710316.0,6396
2018-01-16 05:00:00,187.7,188.5,185.26,186.38,1518915.0,14685
2018-01-17 05:00:00,194.99,201.2,194.76,199.18,2653357.0,25519
2018-01-18 05:00:00,202.18,205.58,201.81,203.36,3618702.0,18688
2018-01-19 05:00:00,205.22,206.03,203.17,205.52,1123103.0,10581
2018-01-22 05:00:00,204.5,205.54,203.3001,205.54,1002342.0,8188
2018-01-23 05:00:00,204.42,205.92,204.05,205.43,559919.0,6473
2018-01-24 05:00:00,203.51,204.01,200.47,202.25,670467.0,7115
2018-01-25 05:00:00,207.14,208.58,200.65,200.83,1380191.0,12920
2018-01-26 05:00:00,204.04,206.67,203.73,206.51,1069211.0,8474
2018-01-29 05:00:00,204.34,204.59,201.93,204.02,1064510.0,9729
2018-01-30 05:00:00,202.86,203.42,200.03,200.23,744903.0,8586
2018-01-31 05:00:00,202.39,203.66,202.001,202.96,701847.0,7792
2018-02-01 05:00:00,202.08,203.395,200.41,201.42,741503.0,8520
2018-02-02 05:00:00,199.34,199.5,194.47,194.57,917344.0,11352
2018-02-05 05:00:00,193.34,196.57,186.56,186.68,912604.0,11139
2018-02-06 05:00:00,186.69,194.2945,185.84,194.11,2881188.0,23303
2018-02-07 05:00:00,191.1,191.6,187.0,187.15,1275462.0,10495
2018-02-08 05:00:00,186.88,187.37,178.2,179.9,1767151.0,15715
2018-02-09 05:00:00,182.07,184.91,175.88,183.67,2070909.0,14115
2018-02-12 05:00:00,183.33,187.39,183.07,186.34,1563418.0,10000
2018-02-13 05:00:00,185.28,186.24,183.83,185.24,496260.0,5733
2018-02-14 05:00:00,183.71,192.08,183.55,191.34,930584.0,8822
2018-02-15 05:00:00,193.21,195.2,190.97,194.9,1125936.0,7573
2018-02-16 05:00:00,192.86,195.3,192.05,192.23,738917.0,8116
2018-02-20 05:00:00,191.99,197.39,191.97,195.52,764024.0,7399
2018-02-21 05:00:00,196.74,197.98,194.27,194.41,703375.0,5052
2018-02-22 05:00:00,195.73,196.03,192.52,193.29,796493.0,6733
2018-02-23 05:00:00,193.95,197.09,193.66,196.82,741726.0,6643
2018-02-26 05:00:00,200.1,201.0,198.36,200.84,1172167.0,6421
2018-02-27 05:00:00,198.98,200.53,197.44,197.44,861135.0,7047
2018-02-28 05:00:00,198.22,198.74,194.995,195.39,623664.0,6307
2018-03-01 05:00:00,193.16,194.91,189.03,191.93,901900.0,9669
2018-03-02 05:00:00,190.5,193.88,189.09,193.57,695995.0,7271
2018-03-05 05:00:00,194.72,199.59,194.38,198.35,730709.0,7957
2018-03-06 05:00:00,200.03,203.39,199.29,202.84,1538988.0,8421
2018-03-07 05:00:00,204.38,206.42,202.84,206.05,1308314.0,8945
2018-03-08 05:00:00,206.95,207.23,204.3,205.02,458351.0,4910
2018-03-09 05:00:00,207.4,209.89,206.93,209.41,645118.0,6854
2018-03-12 04:00:00,210.9,212.75,210.32,211.3,788773.0,8150
2018-03-13 04:00:00,212.77,213.6,207.12,208.02,656860.0,8717
2018-03-14 04:00:00,212.35,212.47,209.29,211.53,733383.0,8252
2018-03-15 04:00:00,214.3,215.48,212.75,214.44,700532.0,7480
2018-03-16 04:00:00,213.54,214.58,212.56,214.06,821954.0,7289
2018-03-19 04:00:00,214.0,214.1,210.03,212.75,1063277.0,9308
2018-03-20 04:00:00,210.55,214.3,210.48,212.6,790377.0,8221
2018-03-21 04:00:00,213.09,216.0,212.35,213.73,465429.0,6303
2018-03-22 04:00:00,210.08,212.02,204.46,204.72,1008317.0,10720
2018-03-23 04:00:00,205.52,206.27,199.03,199.11,1148964.0,10218
2018-03-26 04:00:00,205.01,207.53,202.09,207.45,776788.0,8585
2018-03-27 04:00:00,207.18,207.92,198.88,200.29,681947.0,8424
2018-03-28 04:00:00,197.49,199.16,193.18,194.53,2776641.0,17115
2018-03-29 04:00:00,195.85,200.42,194.825,198.56,1193191.0,8469
2018-04-02 04:00:00,197.47,199.16,190.63,193.05,705154.0,7681
2018-04-03 04:00:00,197.6,200.09,196.4,199.43,1165627.0,8364
2018-04-04 04:00:00,191.66,198.31,191.49,198.26,1704940.0,14301
2018-04-05 04:00:00,199.44,200.93,197.27,198.68,861228.0,8758
2018-04-06 04:00:00,197.49,199.275,194.01,194.63,837891.0,7982
2018-04-09 04:00:00,198.01,202.57,196.89,198.53,774051.0,7778
2018-04-10 04:00:00,204.42,207.07,202.0,205.55,886008.0,9470
2018-04-11 04:00:00,204.14,206.7,203.88,205.55,855456.0,8470
2018-04-12 04:00:00,205.87,207.32,205.07,206.24,1044524.0,10418
2018-04-13 04:00:00,205.83,207.149,204.83,205.65,526032.0,6042
2018-04-16 04:00:00,207.64,207.97,205.56,206.7,828649.0,6964
2018-04-17 04:00:00,208.48,213.35,207.84,212.7,1233033.0,13555
2018-04-18 04:00:00,208.75,208.75,203.0,206.32,1700560.0,15575
2018-04-19 04:00:00,203.51,203.62,194.185,195.1,2623933.0,21926
2018-04-20 04:00:00,194.83,195.99,192.3,193.02,1729163.0,11257
2018-04-23 04:00:00,194.44,195.28,190.6501,191.32,808233.0,10325
2018-04-24 04:00:00,196.02,197.07,191.67,194.05,1147571.0,12983
2018-04-25 04:00:00,193.65,193.83,190.32,191.66,830314.0,9154
2018-04-26 04:00:00,193.94,195.98,193.3,195.68,875575.0,8761
2018-04-27 04:00:00,194.48,194.65,191.18,191.75,1109627.0,11396
2018-04-30 04:00:00,189.62,190.21,187.63,188.45,646061.0,7105
2018-05-01 04:00:00,188.5,191.76,187.975,191.44,484370.0,5987
2018-05-02 04:00:00,191.21,192.19,189.97,190.34,509486.0,6024
2018-05-03 04:00:00,192.52,193.8,189.95,192.75,1588209.0,12011
2018-05-04 04:00:00,191.25,196.3,190.74,195.51,788385.0,9911
2018-05-07 04:00:00,194.84,195.55,194.0,194.88,570346.0,5622
2018-05-08 04:00:00,192.75,194.38,192.14,193.87,843844.0,6260
2018-05-09 04:00:00,194.87,198.09,194.64,197.95,518215.0,5193
2018-05-10 04:00:00,199.33,201.12,199.0,201.07,414392.0,4813
2018-05-11 04:00:00,199.88,200.61,198.2923,198.8,405005.0,3758
2018-05-14 04:00:00,201.42,203.67,201.3,201.94,406829.0,5508
2018-05-15 04:00:00,201.09,201.26,197.64,199.93,569662.0,7213
2018-05-16 04:00:00,200.96,202.97,200.82,202.88,490931.0,5583
2018-05-17 04:00:00,203.49,204.16,201.22,202.38,524389.0,6272
2018-05-18 04:00:00,200.79,201.145,196.68,197.34,1002084.0,10318
2018-05-21 04:00:00,202.32,202.89,200.91,202.51,1089012.0,7689
2018-05-22 04:00:00,202.99,203.63,201.5511,202.54,463598.0,5291
2018-05-23 04:00:00,198.12,200.2,197.65,200.2,719293.0,5685
2018-05-24 04:00:00,200.36,201.0846,198.63,200.83,325335.0,3879
